title,abstract,track,date,time,format,theme,status,confirmed,featured,audience,name,organization,role,image,headshot,twitter,github,website
Opening Keynote,Apollo's Matt Debergalis will kick off GraphQL Summit with his Keynote address.,General Session,10/30/2019 9:15 AM,9:15 AM,Session (25 min),The GraphQL stack,Accepted,Y,Y,Intermediate,Matt Debergalis,Apollo,"Co-Founder, CTO",https://i.imgur.com/VNwZC8A.jpg,,,,
The obligatory hooks talk,"Let's talk about React and GraphQL! With all the new changes in React, we would expect some changes in the API we use for all our data needs, right? Let's dive through some live coding and see how we can switch to hooks with React and Apollo.",General Session,10/31/2019 9:30 AM,9:30 AM,Session (25 min),The GraphQL stack,Accepted,Y,Y,Intermediate,Sara Vieira,CodeSandbox,Developer,https://i.imgur.com/dGlevRt.jpg,,,,
Extending GraphQL APIs with Durable Functions,"Durable Functions are orchestrated serverless functions that keep track of state even after execution has completed. Therefore, you can get the value of this state over time. This is powerful for handling stateful computation — you can lift such computations out of your GraphQL API logic, abstract them into durable functions, and reuse them since they are fundamentally functions.",General Session,10/31/2019 2:00 PM,2:00 PM,Session (25 min),The GraphQL stack,Accepted,Y,Y,Intermediate,Christian Nwamba,Microsoft,Senior Developer Advocate,https://i.imgur.com/g0JpzxO.jpg,,,,
Migrating to Apollo at Airbnb,"You've heard that Apollo & GraphQL are amazing technologies that can help your organization build faster. But, what about all of the existing code that relies on REST endpoints? In this talk, we'll show how we migrated to Apollo at Airbnb. We'll cover our use of TypeScript, incrementally adopting GraphQL in our React + Redux codebase, and lessons learned along the way to help you make a similar transition at your organization.",General Session,10/30/2019 10:00 AM,10:00 AM,Session (25 min),Spooky stories,Accepted,Y,Y,Intermediate,Brie Bunge,Airbnb,Software Engineer,https://i.imgur.com/aVl3AwY.png,,,,
EthQL: Using GraphQL on the Ethereum Blockchain,EthQL is a project aimed at improving and standardizing a GraphQL schema for the Ethereum blockchain. GraphQL brings developers a more efficient and expressive interface to interact with blockchain data.,Bayview,10/30/2019 11:00 AM,11:00 AM,Session (25 min),Creative uses of GraphQL,Accepted,Y,,Intermediate,Kris Shinn,Infura,Developer Tools Architect,,https://drive.google.com/open?id=1id5eoiAHXPJveJAifIdFysdenYD_zPgN,https://twitter.com/raggamuffin_rox,https://github.com/kshinn,
Intuit API: Caching at the Edge,Learn how Intuit uses GraphQL Service Orchestration and Caching to handle hundreds of services and serve millions of Customers.,Bayview,10/31/2019 3:00 PM,3:00 PM,Session (25 min),Deep dive (Server),Accepted,Y,,Intermediate,Philip Russell,Intuit,Staff Software Engineer,,https://drive.google.com/open?id=1S1TNaf0PWOhVMcohom0_C09QRRPKHTLL,,https://github.com/per06a,http://prussell.net/
Client-side GraphQL at scale,"We’ll cover the testing, monitoring, and performance tricks needed to build a client-side app with hundreds of GraphQL operations.",General Session,10/31/2019 3:00 PM,3:00 PM,Session (25 min),Deep dive (Client),Accepted,Y,,Intermediate,Chris Sauvé,Shopify,Senior Web Developer Lead,,https://drive.google.com/open?id=1nPOxciT6KsGduC0Ht4WNInF7rH5seU4I,https://twitter.com/_lemonmade,https://github.com/lemonmade,
The state of GraphQL in Python,"What's the current state of GraphQL in Python? This talk will be a comparison between them, we'll be particularly looking into the following libraries: Graphene (the ""oldest"" and most popular one), Ariadne, Tartiflette, and Strawberry (the one I'm working on).
",Seacliff,10/30/2019 2:30 PM,2:30 PM,Session (25 min),Deep dive (Server),Accepted,Y,,Beginner,Patrick Arminio,Verve,Backend Engineer,,https://drive.google.com/open?id=1ZC4eLdtLtD3JiQ3EdV_5032U3tvJeD82,https://twitter.com/patrick91,http://github.com/patrick91/,https://patrick.wtf/
Query Analysis Reboot,This talk will focus on using data to drive decisions; or how your users can help you better understand your own API by leveraging data pipelines and tracing tools.,Seacliff,10/30/2019 3:00 PM,3:00 PM,Session (25 min),GraphQL infrastructure,Accepted,Y,,Beginner,Claire Knight,GitHub,Senior API Engineer,,https://drive.google.com/open?id=1MkAUZcoNY-n43foNiQFFCschbXWc9KU8,https://twitter.com/krider2010,https://github.com/krider2010,https://www.krider.co.uk/
Efficient end-to-end testing with Puppeteer and GraphQL snapshots,Learn how to speed up client-side end-to-end tests by automatically recording server responses and using the snapshots to speed-up subsequent test runs.,Bayview,10/31/2019 2:30 PM,2:30 PM,Lightning Talk (10 min),Deep dive (Client),Accepted,Y,,Intermediate,Sebastian Scholl,8base,Product Manager,https://i.imgur.com/xSQdnjL.png,,,,
GraphQL Search,Learn how we are able to search across our graph by leveraging existing graph edges to automatically build and maintain search indices.,Bayview,10/31/2019 2:15 PM,2:15 PM,Lightning Talk (10 min),Creative uses of GraphQL,Accepted,Y,,Beginner,Artem Shtatnov,Netflix,Software Engineer,,https://drive.google.com/open?id=19CpevRNM346ilwGU9K9X3NZQFn7nPv_i,,,http://www.artemshtatnov.com/
Rust and GraphQL: A match made in heaven,Rust = awesome. GraphQL = awesome. GraphQL + Rust = 2awesome. Rust has some unique features that make it ideally suited for building GraphQL clients and servers. Learn why you should rewrite (mostly) everything in Rust!,Seacliff,10/30/2019 2:00 PM,2:00 PM,Session (25 min),Deep dive (Server),Accepted,Y,,Beginner,Christian Legnitto,Robinhood,Engineering Manager,,https://drive.google.com/open?id=1BiTYFYjAWV_VaQ9vwzWvSjThTDAJaLOX,https://twitter.com/LegNeato,https://github.com/LegNeato,https://christian.legnitto.com/blog
